run,dx,dy,dz,dvx,dvy,dvz,missDistance,interceptTime,hit
1,-14.6382,13.453,-187.138,4394.64,4.09279,-10.6986,8.16706,2.1409,1
2,46.065,105.547,1.02154,4407.46,29.3642,-3.67103,10.7142,2.1276,0
3,-104.944,66.0682,-62.5276,4379.27,-63.9781,-12.2177,13.1437,2.16,0
4,148.596,101.922,-62.8956,4386.51,-12.0647,18.4897,12.4182,2.1059,0
5,-12.1306,210.886,-37.1003,4342.46,-26.4837,8.46182,12.513,2.1406,0
6,-28.7389,135.433,92.5328,4436.38,-6.08186,47.8902,9.4685,2.1435,1
7,19.7497,100.886,43.9499,4416.14,-3.20372,-32.1497,12.8384,2.1332,0
8,43.8945,-61.3857,46.9861,4444.41,-14.56,26.7123,8.22045,2.1279,1
9,-10.3692,14.9386,62.4049,4429.27,26.9562,-41.2515,12.7789,2.1395,0
10,153.727,-145.473,13.6395,4429.3,-27.888,-32.8657,5.18388,2.1046,1
11,112.422,-173.985,-147.975,4437.06,-18.1966,28.8711,13.4806,2.1138,0
12,-158.694,98.4235,32.6633,4397.18,-25.9362,8.08824,11.0206,2.1714,0
13,-208.402,38.9231,24.3215,4406.88,72.9071,16.8106,12.1542,2.1818,0
14,45.5092,186.225,-209.501,4319.88,26.3859,17.7592,10.6707,2.1287,0
15,-0.122802,40.4831,-108.115,4390,23.1524,1.04493,12.7893,2.1376,0
16,141.863,38.7892,-56.9566,4403.15,-15.8664,32.0562,12.0468,2.1072,0
17,-67.7104,20.4175,135.715,4392.12,-9.49805,-5.21352,9.64252,2.152,1
18,-245.3,1.95746,132.359,4433.93,-2.28109,4.79655,9.53417,2.1898,1
19,-161.209,28.1664,78.5215,4408.85,-6.79023,-34.3607,11.0363,2.1719,0
20,-31.6253,-153.723,-5.39041,4398.52,9.66604,13.2288,11.8718,2.1444,0
21,154.308,-38.8037,7.63218,4357.96,-22.5078,0.407892,11.8718,2.1046,0
22,-64.4921,-13.0386,-237.398,4385.31,25.2534,-14.5281,14.0897,2.1518,0
23,46.5062,117.503,-154.914,4386.89,26.5301,48.1565,11.6044,2.1279,0
24,-94.4311,-39.5067,-186.94,4372.82,22.1663,9.38547,12.3869,2.1581,0
25,28.1015,-43.059,-28.2224,4394.33,17.0016,13.4261,12.0142,2.1315,0
26,98.182,-17.1483,-3.95065,4371.86,37.8633,6.83735,12.2612,2.1165,0
27,3.06945,-36.8253,98.3281,4385.38,-10.8147,45.4915,9.43083,2.1368,1
28,-14.9726,-70.4493,24.827,4396.8,45.3757,38.7749,10.0339,2.1406,0
29,132.445,-84.942,101.566,4397.95,-2.2274,8.43399,9.04035,2.1092,1
30,116.719,45.0628,-50.3789,4385.78,23.7523,-2.55237,12.4422,2.1125,0
31,182.362,-93.429,24.6156,4422.12,-19.6941,3.79172,9.69289,2.0984,1
32,-33.775,-91.6308,-128.537,4390.31,13.1931,-24.0574,9.32051,2.1449,1
33,-124.964,-39.6654,-31.4504,4364.86,23.8677,-4.1038,12.39,2.1643,0
34,-119.639,-29.3951,5.05313,4410.9,28.3026,-8.26378,11.8807,2.163,0
35,-70.1741,-39.3573,56.8603,4400.01,-2.82534,-10.4046,10.3547,2.1524,0
36,-44.1037,-88.0084,133.834,4394.14,-18.6839,10.5959,7.17933,2.147,1
37,-70.3211,175.569,-147.934,4397.38,4.82557,-4.60594,14.1669,2.153,0
38,-59.2084,-226.491,283.542,4458.96,-29.4271,-9.27269,1.11773,2.151,1
39,6.31497,256.777,-82.7822,4371.26,-29.4394,25.5225,11.9475,2.1369,0
40,76.3801,98.074,-123.425,4401.19,15.483,-13.0587,11.0842,2.1213,0
41,-12.2258,68.5395,-94.7542,4372.05,-64.6555,-30.9284,5.33171,2.1402,1
42,37.9197,148.602,81.4239,4400.95,-30.869,-0.228063,10.5797,2.1295,0
43,-43.5955,70.2159,77.2662,4366.58,1.57305,36.9811,10.2969,2.1468,0
44,22.1592,88.6887,-57.9663,4388.31,-32.4618,9.28614,12.7456,2.1329,0
45,-29.1079,34.805,-125.291,4423.59,-6.71091,20.9436,13.1248,2.1438,0
46,49.2484,26.7865,-100.421,4401.48,51.4186,51.8728,12.2001,2.127,0
47,-36.2788,-72.6209,80.9637,4411.53,-11.2368,1.13364,7.22308,2.1451,1
48,-87.5982,85.2314,117.073,4418.07,-17.3221,63.4936,8.96704,2.156,1
49,334.928,-23.9757,-79.9365,4386.96,-16.0068,26.3888,10.6791,2.066,0
50,-120.33,67.7434,37.1682,4438.74,-39.5681,6.71737,10.1295,2.163,0
51,22.4898,-61.3299,-0.81768,4401.88,23.4476,25.7524,10.8429,2.1326,0
52,14.908,76.5506,-23.5396,4382.9,22.4438,-1.17394,12.8361,2.1343,0
53,-127.854,117.484,11.0111,4439.22,-1.19822,-1.45261,12.5598,2.1647,0
54,-57.2371,-51.5632,135.409,4331.31,4.94586,-5.73163,8.86873,2.15,1
55,222.731,48.3006,-119.772,4403.19,44.5625,-19.382,11.4045,2.0899,0
56,-102.637,111.866,82.3291,4380.64,5.81786,-3.51694,11.6986,2.1595,0
57,-38.6004,186.26,19.3769,4398.76,-27.4618,-13.7226,12.8251,2.146,0
58,-170.498,-252.527,-75.7891,4423.01,-14.1905,13.6308,13.6128,2.1745,0
59,-2.1339,92.0078,-66.8544,4362.4,-7.0113,11.4739,12.9567,2.1381,0
60,98.8638,87.1256,-127.608,4360.73,-0.198745,6.81208,11.7581,2.1167,0
61,-5.22599,45.9375,-68.7795,4384.73,18.5339,0.562443,13.0748,2.1387,0
62,-100.312,-147.448,20.8709,4335.95,24.7579,-14.0121,12.5695,2.1593,0
63,26.7547,159.75,-59.1776,4423.46,5.67403,36.0195,9.71368,2.1319,1
