t,x,y,z,qw,qx,qy,qz,tx,ty,tz,Vc,range,nCx,nCy,nCz,ox,oy,oz
0.001,4.39997,0.0880177,10000,0.999946,2.20763e-06,-0.000220785,0.0103748,24998.5,500,10000,5900.52,24999.1,-0.978069,36.5905,21.4748,0.999785,0.0207485,0.000441592
0.002,8.79989,0.176091,10000,0.999942,3.28387e-08,-1.933e-05,0.010758,24997,500,10000,5900.47,24993.2,-2.4266,52.014,-26.5801,0.999769,0.0215148,3.86586e-05
0.003,13.1998,0.264251,10000,0.999941,4.4353e-06,-0.000428367,0.0108985,24995.5,500,10000,5900.42,24987.3,-1.90656,52.1071,141.245,0.999762,0.0217956,0.00085678
0.004,17.5996,0.352524,10000,0.999938,8.45425e-06,-0.000805223,0.0110951,24994,500,10000,5900.38,24981.4,-1.76605,67.0417,122.701,0.999752,0.0221889,0.00161053
0.005,21.9994,0.440906,10000,0.999937,1.29423e-05,-0.00121728,0.0111854,24992.5,500.001,10000,5900.33,24975.5,-0.292561,25.3877,101.753,0.999747,0.0223693,0.00243469
0.006,26.3991,0.529383,10000,0.999935,1.74311e-05,-0.00162802,0.0112545,24991,500.001,10000,5900.29,24969.6,0.0256557,17.5251,87.4371,0.999741,0.0225075,0.00325623
0.007,30.7988,0.617972,10000,0.999932,2.09814e-05,-0.00197688,0.0114654,24989.5,500.001,10000,5900.26,24963.7,-0.404002,49.7594,80.9219,0.999729,0.0229292,0.00395398
0.008,35.1984,0.706602,10000,0.999937,2.36132e-05,-0.00213815,0.0110519,24988,500.002,10000,5900.22,24957.8,-2.74688,-145.262,69.779,0.999747,0.0221023,0.00427655
0.009,39.598,0.795291,10000,0.999932,2.29257e-05,-0.00216264,0.0114701,24986.5,500.002,10000,5900.19,24951.9,-2.13013,100.648,12.6546,0.999728,0.0229385,0.00432551
0.01,43.9976,0.884198,10000,0.999927,2.29984e-05,-0.00224782,0.0118702,24985,500.003,10000,5900.15,24946,-5.08246,171.455,47.0567,0.999708,0.0237386,0.00449585
0.011,48.3972,0.973381,10000,0.999922,2.20882e-05,-0.00225003,0.012279,24983.5,500.003,10000,5900.12,24940.1,-4.9019,164.36,12.7235,0.999688,0.024556,0.00450025
0.012,52.7967,1.06288,10000,0.999917,1.99512e-05,-0.00214837,0.0126776,24982,500.004,10000,5900.1,24934.2,-8.38708,202.835,-33.0963,0.999669,0.0253531,0.0042969
0.013,57.1962,1.15275,10000,0.999912,1.81185e-05,-0.00206777,0.0130734,24980.5,500.004,10000,5900.07,24928.3,-7.62281,199.192,-23.261,0.99965,0.0261445,0.00413565
0.014,61.5956,1.24301,10000,0.999908,1.54743e-05,-0.00191981,0.01345,24979,500.005,10000,5900.04,24922.4,-10.1185,215.948,-61.3238,0.999631,0.0268975,0.00383968
0.015,65.995,1.3337,10000,0.999903,1.27904e-05,-0.00176528,0.0138188,24977.5,500.006,10000,5900.02,24916.5,-9.91436,213.269,-65.3499,0.999612,0.0276349,0.00353057
0.016,70.3944,1.42484,10000,0.999898,1.01026e-05,-0.00160718,0.0141807,24976,500.006,10000,5900,24910.6,-8.93693,201.742,-64.8639,0.999593,0.0283584,0.00321432
0.017,74.7938,1.51644,10000,0.999893,7.70279e-06,-0.00146703,0.0145422,24974.5,500.007,10000,5899.98,24904.7,-7.78745,193.348,-54.2044,0.999573,0.0290813,0.00293397
0.018,79.1931,1.60852,10000,0.999888,5.16918e-06,-0.00131465,0.0148945,24973,500.008,10000,5899.96,24898.8,-8.0048,193.598,-61.4372,0.999553,0.0297856,0.00262917
0.019,83.5924,1.70112,10000,0.999883,3.02218e-06,-0.00118627,0.0152481,24971.5,500.009,10000,5899.94,24892.9,-8.01872,202.327,-52.7587,0.999532,0.0304926,0.00237236
0.02,87.9916,1.79426,10000,0.999878,1.30108e-06,-0.00108407,0.0156024,24970,500.01,10000,5899.92,24887,-9.25197,226.197,-45.3077,0.999511,0.0312009,0.00216792
