t,x,y,z,qw,qx,qy,qz,tx,ty,tz
0,0.249943,4.11764e-05,1000,0.999525,-0.0179624,-0.0250507,0,100,0,1000
0.005,0.49977,0.000164864,1000.01,0.998091,-0.0359796,-0.0501938,-2.85567e-07,100,0,1000
0.01,0.749482,0.000365926,1000.01,0.995819,-0.0516549,-0.0753351,-0.000118281,100,0,1000
0.015,0.999078,0.000638962,1000.02,0.992673,-0.0672427,-0.100388,-0.000238192,100,0,1000
0.02,1.24856,0.000983782,1000.02,0.988664,-0.0827304,-0.125294,-0.0003581,100,0,1000
0.025,1.49793,0.00139278,1000.03,0.984125,-0.0949116,-0.149963,-0.000877044,100,0,1000
0.03,1.74718,0.00185299,1000.03,0.979087,-0.104677,-0.174438,-0.00174488,100,0,1000
0.035,1.99632,0.00236095,1000.03,0.973248,-0.115218,-0.198765,-0.00245729,100,0,1000
0.04,2.24534,0.00291577,1000.04,0.966846,-0.124457,-0.222953,-0.00341768,100,0,1000
0.045,2.49425,0.00351778,1000.04,0.959569,-0.134948,-0.246983,-0.00406599,100,0,1000
0.05,2.74304,0.00416611,1000.04,0.951846,-0.143653,-0.27079,-0.00514099,100,0,1000
0.055,2.99172,0.00484828,1000.04,0.944024,-0.148748,-0.294347,-0.00720422,100,0,1000
0.06,3.24029,0.00555571,1000.05,0.935611,-0.153696,-0.317684,-0.00927463,100,0,1000
0.065,3.48875,0.00628019,1000.05,0.927159,-0.155254,-0.34076,-0.0124525,100,0,1000
0.07,3.73709,0.00701467,1000.05,0.918073,-0.157125,-0.363612,-0.0154695,100,0,1000
0.075,3.98532,0.00776154,1000.05,0.908334,-0.159451,-0.386228,-0.018255,100,0,1000
0.08,4.23343,0.0085246,1000.05,0.89787,-0.16264,-0.408598,-0.0206153,100,0,1000
0.085,4.48143,0.00930715,1000.05,0.886793,-0.166068,-0.430697,-0.0228043,100,0,1000
0.09,4.72932,0.0101115,1000.05,0.875058,-0.16994,-0.452529,-0.0247102,100,0,1000
0.095,4.97709,0.010934,1000.05,0.863157,-0.171789,-0.474013,-0.02759,100,0,1000
0.1,5.22476,0.0117769,1000.05,0.850154,-0.176282,-0.495303,-0.0289445,100,0,1000
0.105,5.47231,0.0126374,1000.05,0.837444,-0.176853,-0.516096,-0.0324906,100,0,1000
0.11,5.71974,0.0135038,1000.05,0.824335,-0.176873,-0.536537,-0.036286,100,0,1000
0.115,5.96707,0.0143754,1000.05,0.810706,-0.176945,-0.556641,-0.0399533,100,0,1000
0.12,6.21428,0.0152495,1000.05,0.796851,-0.175779,-0.576334,-0.0443689,100,0,1000
0.125,6.46138,0.0161202,1000.05,0.782744,-0.173582,-0.595599,-0.0494221,100,0,1000
0.13,6.70837,0.0169874,1000.05,0.767978,-0.172184,-0.61455,-0.0537562,100,0,1000
0.135,6.95524,0.0178592,1000.05,0.75236,-0.172515,-0.633238,-0.0565884,100,0,1000
0.14,7.20201,0.0187417,1000.04,0.73625,-0.172911,-0.651559,-0.059244,100,0,1000
0.145,7.44866,0.0196316,1000.04,0.720001,-0.172006,-0.669368,-0.0629197,100,0,1000
0.15,7.6952,0.0205249,1000.04,0.703372,-0.170899,-0.686745,-0.0666481,100,0,1000
0.155,7.94163,0.0214144,1000.04,0.686867,-0.167612,-0.70348,-0.0723589,100,0,1000
0.16,8.18794,0.0222908,1000.03,0.670146,-0.163443,-0.719706,-0.0788274,100,0,1000
0.165,8.43415,0.0231469,1000.03,0.65334,-0.157859,-0.735335,-0.0866582,100,0,1000
0.17,8.68024,0.0239823,1000.03,0.635871,-0.153314,-0.750656,-0.0931588,100,0,1000
0.175,8.92623,0.0247957,1000.02,0.618385,-0.147262,-0.765284,-0.101269,100,0,1000
0.18,9.1721,0.0255831,1000.02,0.600481,-0.141386,-0.779458,-0.108984,100,0,1000
0.185,9.41786,0.0263466,1000.02,0.582149,-0.135718,-0.793202,-0.116251,100,0,1000
0.19,9.66351,0.0270918,1000.01,0.563187,-0.131138,-0.806706,-0.121853,100,0,1000
